,Time Step,Currently Infected,Total Infected So Far,Alive,Dead
0,0.0,14.0,64.0,1971.0,29.0
1,1.0,7.0,71.0,1965.0,35.0
2,2.0,1.0,72.0,1963.0,37.0
3,3.0,0.0,72.0,1962.0,38.0
4,4.0,0.0,72.0,1962.0,38.0
5,5.0,0.0,72.0,1962.0,38.0
6,6.0,0.0,72.0,1962.0,38.0
7,7.0,0.0,72.0,1962.0,38.0
8,8.0,0.0,72.0,1962.0,38.0
9,9.0,0.0,72.0,1962.0,38.0
10,10.0,0.0,72.0,1962.0,38.0
11,11.0,0.0,72.0,1962.0,38.0
12,12.0,0.0,72.0,1962.0,38.0
13,13.0,0.0,72.0,1962.0,38.0
14,14.0,0.0,72.0,1962.0,38.0
15,15.0,0.0,72.0,1962.0,38.0
16,16.0,0.0,72.0,1962.0,38.0
17,17.0,0.0,72.0,1962.0,38.0
18,18.0,0.0,72.0,1962.0,38.0
19,19.0,0.0,72.0,1962.0,38.0
20,20.0,0.0,72.0,1962.0,38.0
